trial_nr	onset	event_type	phase	response	nr_frames	n_dots	sphere_radius	dot_size	rotation_speed	depth_mod_center	depth_mod_amp	ambiguous_dot_size	onset_abs	duration
7	83.6277384	phase2	2		0	200.0	2.0	0.15	2.0	0.75	0.25	0.2	85.7632142	0.002189100000009603
7	83.62992750000001	phase3	3		359	200.0	2.0	0.15	2.0	0.75	0.25	0.2	85.7654033	2.9976384999999937
7	85.30283259999999	response	3	right		200.0	2.0	0.15	2.0	0.75	0.25	0.2	87.43830839999998	
8	86.627566	phase0	0		143	200.0	2.0	0.15	2.0	0.75	0.25	0.2	88.7630418	1.1916347999999743
8	87.81920079999998	phase1	1		479	200.0	2.0	0.15	2.0	0.75	0.25	0.2	89.95467659999997	3.999885900000038
8	91.81908670000001	phase2	2		12	200.0	2.0	0.15	2.0	0.75	0.25	0.2	93.95456250000001	0.10001139999997122
8	91.91909809999999	phase3	3		360	200.0	2.0	0.15	2.0	0.75	0.25	0.2	94.05457389999998	2.999864900000034
8	93.93597549999998	response	3	right		200.0	2.0	0.15	2.0	0.75	0.25	0.2	96.07145129999998	
9	94.91896300000002	phase0	0		172	200.0	2.0	0.15	2.0	0.75	0.25	0.2	97.05443880000001	1.4315720999999826
9	96.3505351	phase1	1		480	200.0	2.0	0.15	2.0	0.75	0.25	0.2	98.4860109	4.001634299999978
9	100.35216939999998	phase2	2		0	200.0	2.0	0.15	2.0	0.75	0.25	0.2	102.48764519999997	0.002328300000044692
9	100.35449770000002	phase3	3		359	200.0	2.0	0.15	2.0	0.75	0.25	0.2	102.48997350000002	2.997557699999959
9	101.58567749999997	response	3	left		200.0	2.0	0.15	2.0	0.75	0.25	0.2	103.72115329999997	
10	103.35205539999998	phase0	0		192	200.0	2.0	0.15	2.0	0.75	0.25	0.2	105.48753119999998	1.5999532000000158
10	104.9520086	phase1	1		480	200.0	2.0	0.15	2.0	0.75	0.25	0.2	107.0874844	3.9998595999999793
10	108.95186819999998	phase2	2		18	200.0	2.0	0.15	2.0	0.75	0.25	0.2	111.08734399999997	0.14830060000002732
10	109.1001688	phase3	3		360	200.0	2.0	0.15	2.0	0.75	0.25	0.2	111.2356446	3.0016171999999983
10	111.0187884	response	3	left		200.0	2.0	0.15	2.0	0.75	0.25	0.2	113.1542642	
11	112.101786	phase0	0		279	200.0	2.0	0.15	2.0	0.75	0.25	0.2	114.2372618	2.3249362999999903
11	114.4267223	phase1	1		480	200.0	2.0	0.15	2.0	0.75	0.25	0.2	116.56219809999999	3.999834899999996
11	118.42655719999999	phase2	2		18	200.0	2.0	0.15	2.0	0.75	0.25	0.2	120.56203299999999	0.1500068000000283
11	118.57656400000002	phase3	3		360	200.0	2.0	0.15	2.0	0.75	0.25	0.2	120.71203980000001	2.99989869999996
11	119.9855526	response	3	right		200.0	2.0	0.15	2.0	0.75	0.25	0.2	122.1210284	
12	121.57646269999998	phase0	0		323	200.0	2.0	0.15	2.0	0.75	0.25	0.2	123.71193849999997	2.691595600000028
12	124.2680583	phase1	1		480	200.0	2.0	0.15	2.0	0.75	0.25	0.2	126.4035341	3.9998779000000013
12	128.2679362	phase2	2		18	200.0	2.0	0.15	2.0	0.75	0.25	0.2	130.403412	0.149986599999977
12	128.41792279999999	phase3	3		360	200.0	2.0	0.15	2.0	0.75	0.25	0.2	130.55339859999998	2.999897200000021
12	129.8014392	response	3	left		200.0	2.0	0.15	2.0	0.75	0.25	0.2	131.936915	
13	131.41782	phase0	0		337	200.0	2.0	0.15	2.0	0.75	0.25	0.2	133.5532958	2.808265000000006
13	134.226085	phase1	1		480	200.0	2.0	0.15	2.0	0.75	0.25	0.2	136.3615608	3.999844399999972
13	138.22592939999998	phase2	2		36	200.0	2.0	0.15	2.0	0.75	0.25	0.2	140.36140519999998	0.29998829999999543
13	138.52591769999998	phase3	3		360	200.0	2.0	0.15	2.0	0.75	0.25	0.2	140.66139349999997	2.9999048000000244
13	139.65112620000002	response	3	left		200.0	2.0	0.15	2.0	0.75	0.25	0.2	141.78660200000002	
14	141.5258225	phase0	0		155	200.0	2.0	0.15	2.0	0.75	0.25	0.2	143.6612983	1.2899138999999877
14	142.8157364	phase1	1		480	200.0	2.0	0.15	2.0	0.75	0.25	0.2	144.9512122	4.00161159999999
