trial_nr	onset	event_type	phase	response	nr_frames	onset_abs	duration
18	265.72295060000033	alternation	0		25	266.8276977000005	0.20840320000024803
18	265.9313538000006	alternation	1		24	267.03610090000075	0.1994899000001169
18	266.1308437000007	alternation	2		23	267.23559080000086	0.19382859999950597
18	266.3246723000002	alternation	3		24	267.42941940000037	0.2000993000001472
18	266.52477160000035	alternation	4		24	267.6295187000005	0.19989040000018576
18	266.72466200000054	alternation	5		24	267.8294091000007	0.19998740000028192
18	266.9246494000008	alternation	6		24	268.029396500001	0.19998209999994288
18	267.12463150000076	alternation	7		25	268.2293786000009	0.20666789999995672
18	267.3312994000007	alternation	8		24	268.4360465000009	0.1999390000000858
18	267.5312384000008	alternation	9		24	268.63598550000097	0.19998219999979483
18	267.7312206000006	alternation	10		24	268.83596770000077	0.20003120000001218
18	267.9312518000006	alternation	11		24	269.0359989000008	0.20002289999956702
18	268.1312747000002	alternation	12		24	269.23602180000034	0.1998466000004555
18	268.33112130000063	alternation	13		24	269.4358684000008	0.2001630999993722
18	268.5312844	alternation	14		24	269.6360315000002	0.19993870000052993
18	268.73122310000053	alternation	15		24	269.8359702000007	0.1999921999995422
18	268.9312153000001	alternation	16		23	270.03596240000024	0.19341500000064116
18	269.1246303000007	alternation	17		24	270.2293774000009	0.2000399999997171
18	269.32467030000043	alternation	18		24	270.4294174000006	0.19990409999991243
18	269.52457440000035	alternation	19		24	270.6293215000005	0.20005209999999352
18	269.72462650000034	alternation	20		24	270.8293736000005	0.19992679999995744
18	269.9245533000003	alternation	21		25	271.02930040000047	0.20659650000015972
18	270.13114980000046	alternation	22		24	271.2358969000006	0.19998870000017632
18	270.33113850000063	alternation	23		24	271.4358856000008	0.1999945999996271
18	270.53113310000026	alternation	24		24	271.63588020000043	0.19999689999986003
18	270.7311300000001	alternation	25		20	271.8358771000003	0.1666631000007328
18	270.8813325000001	response	25	space		271.98607960000027	
19	270.89779310000085	alternation	0		25	272.002540200001	0.20832589999918127
19	271.10611900000004	alternation	1		24	272.2108661000002	0.20000049999998737
19	271.3061195	alternation	2		24	272.4108666000002	0.19998620000023948
19	271.50610570000026	alternation	3		23	272.61085280000043	0.1916929999997592
19	271.6977987	alternation	4		24	272.8025458000002	0.20171280000067782
19	271.8995115000007	alternation	5		24	273.00425860000087	0.19998320000013337
19	272.09949470000083	alternation	6		24	273.204241800001	0.19998719999966852
19	272.2994819000005	alternation	7		24	273.40422900000067	0.200124599999981
19	272.4996065000005	alternation	8		24	273.60435360000065	0.1999009000001024
19	272.6995074000006	alternation	9		24	273.80425450000075	0.1999433000000863
19	272.89945070000067	alternation	10		25	274.00419780000084	0.20659969999996974
19	273.10605040000064	alternation	11		24	274.2107975000008	0.2000676999996358
19	273.3061181000003	alternation	12		24	274.41086520000044	0.2000065000001996
19	273.5061246000005	alternation	13		24	274.61087170000064	0.19990659999984928
19	273.7060312000003	alternation	14		24	274.8107783000005	0.20004100000005565
19	273.9060722000004	alternation	15		24	275.01081930000055	0.19998800000030315
19	274.1060602000007	alternation	16		24	275.21080730000085	0.2000313999997161
19	274.3060916000004	alternation	17		24	275.41083870000057	0.19991719999961788
19	274.5060088	alternation	18		24	275.6107559000002	0.19999670000015612
19	274.7060055000002	alternation	19		23	275.81075260000034	0.19340629999987868
19	274.89941180000005	alternation	20		24	276.0041589000002	0.19998460000078921
19	275.09939640000084	alternation	21		24	276.204143500001	0.20000099999924714
19	275.2993974000001	alternation	22		24	276.40414450000026	0.20000530000015715
19	275.49940270000025	alternation	23		24	276.6041498000004	0.19999319999988074
19	275.6993959000001	alternation	24		24	276.8041430000003	0.1999933000006422
19	275.89938920000077	alternation	25		25	277.00413630000094	0.2065865999993548
19	276.1059758000001	alternation	26		24	277.2107229000003	0.19997870000042894
19	276.30595450000055	alternation	27		24	277.4107016000007	0.19999660000030417
19	276.50595110000086	alternation	28		24	277.610698200001	0.20003949999954784
19	276.7059906000004	alternation	29		24	277.8107377000006	0.1999404999996841
19	276.9059311000001	alternation	30		20	278.01067820000026	0.16666260000056354
19	277.0563860000002	response	30	space		278.16113310000037	
20	277.07259370000065	alternation	0		25	278.1773408000008	0.20833570000013424
20	277.2809294000008	alternation	1		24	278.38567650000095	0.19998429999941436
20	277.4809137000002	alternation	2		24	278.58566080000037	0.1999989000005371
20	277.68091260000074	alternation	3		24	278.7856597000009	0.20173179999983404
20	277.8826444000006	alternation	4		23	278.98739150000074	0.19135189999997237
20	278.07399630000054	alternation	5		24	279.1787434000007	0.20034320000013395
20	278.2743395000007	alternation	6		24	279.37908660000085	0.1999203999994279
20	278.4742599000001	alternation	7		24	279.5790070000003	0.20005260000016278
20	278.67431250000027	alternation	8		24	279.77905960000044	0.19998279999981605
20	278.8742953000001	alternation	9		25	279.97904240000025	0.2066279000000577
